bandwidth,baseline_e2e_p99,baseline_effective_ttft_p99,baseline_tbt_p99,output,pd_e2e_p99,pd_effective_ttft_p99,pd_over_baseline_e2e_p99,pd_over_baseline_effective_ttft_p99,pd_over_baseline_tbt_p99,pd_tbt_p99,prompt,rate,split,status
25,3.0413157531575683,0.11431806215615092,0.04606353548275224,64,2.859122186163712,0.1743750188091971,0.9400938337939103,1.5253496737113366,0.9291350901816564,0.04279924719485293,128,20,2:6,ok
25,3.0413157531575683,0.11431806215615092,0.04606353548275224,64,2.8459017611063198,0.16059403310263082,0.9357468911774895,1.4048001695766148,0.929201268221918,0.0428022955893587,128,20,4:4,ok
25,3.0413157531575683,0.11431806215615092,0.04606353548275224,64,2.8080019763197526,0.12012631573059815,0.9232852502751207,1.0508078379295263,0.9303232981300795,0.04285398025384601,128,20,6:2,ok
25,3.460417337809616,0.13342122758723937,0.052546564253826804,64,2.893031159095529,0.20563422282412613,0.8360353323529374,1.5412406746870115,0.8150633277595518,0.04282877752305519,128,50,2:6,ok
25,3.460417337809616,0.13342122758723937,0.052546564253826804,64,2.8643006866179106,0.17536858117227228,0.8277327290328984,1.314397898622279,0.8160776982937455,0.04288207920950739,128,50,4:4,ok
25,3.460417337809616,0.13342122758723937,0.052546564253826804,64,2.862174105113126,0.16590414518567084,0.8271181842259618,1.2434613905586505,0.8183222816128894,0.04300002435110985,128,50,6:2,ok
25,4.310471793822599,0.1467763166928064,0.06531247386925959,64,3.1361617399448245,0.4477589880190688,0.7275680923000828,3.0506215042594382,0.6568554565566824,0.0429008548422389,128,100,2:6,ok
25,4.310471793822599,0.1467763166928064,0.06531247386925959,64,2.8878284897313833,0.19309016181182836,0.6699564752679679,1.3155403144224822,0.658110426678761,0.04298282004554386,128,100,4:4,ok
25,4.310471793822599,0.1467763166928064,0.06531247386925959,64,2.8925369444561664,0.18194989583070942,0.6710488045882829,1.2396406990612736,0.6616479195775401,0.043213862458058055,128,100,6:2,ok
25,5.998144200237262,0.11423328252211024,0.04597630001745863,128,5.590971831827489,0.1759626097680792,0.9321169423713309,1.5403795276041468,0.9293962884403121,0.042730202592444304,128,20,2:6,ok
25,5.998144200237262,0.11423328252211024,0.04597630001745863,128,5.5749327526986265,0.15600335070231452,0.9294429354462843,1.3656558514119521,0.929972494885629,0.042756694432846194,128,20,4:4,ok
25,5.998144200237262,0.11423328252211024,0.04597630001745863,128,5.551736308109002,0.12030712630749425,0.9255756652014798,1.053170526586316,0.9322719439744014,0.04286241459402646,128,20,6:2,ok
25,6.786674847157979,0.1149886362322501,0.05226416968647189,128,5.629238858210903,0.20354533751197734,0.8294546276322978,1.7701343731119956,0.8193264964149414,0.042821419037253,128,50,2:6,ok
25,6.786674847157979,0.1149886362322501,0.05226416968647189,128,5.61137308163432,0.17780621801075386,0.8268221489915885,1.5462938237794817,0.8207999727491158,0.04289842905441129,128,50,4:4,ok
25,6.786674847157979,0.1149886362322501,0.05226416968647189,128,5.620587996737932,0.16556920291936558,0.8281799442758977,1.4398744810309307,0.8253015205242159,0.04313369871118088,128,50,6:2,ok
25,8.633162019753765,0.1499867962374295,0.06662760113312537,128,5.92150387415156,0.4741628255946878,0.6859020901730342,3.161363783276541,0.6450571822600656,0.0429786126476814,128,100,2:6,ok
25,8.633162019753765,0.1499867962374295,0.06662760113312537,128,5.662083443071669,0.19763476198458907,0.6558527953160276,1.317681068883775,0.6475515343130529,0.04314480534135343,128,100,4:4,ok
25,8.633162019753765,0.1499867962374295,0.06662760113312537,128,5.717988464077626,0.18382033023370437,0.6623284088719923,1.2255767497207974,0.6555421238152078,0.04367719915152155,128,100,6:2,ok
