bandwidth,baseline_e2e_p99,baseline_effective_ttft_p99,baseline_tbt_p99,output,pd_e2e_p99,pd_effective_ttft_p99,pd_over_baseline_e2e_p99,pd_over_baseline_effective_ttft_p99,pd_over_baseline_tbt_p99,pd_tbt_p99,prompt,rate,split,status
25,1.1649297617197112,0.14389284941523633,0.06569206355043264,16,1.1425912137826446,0.5032852475661408,0.9808241246201062,3.4976390391283028,0.6598654103629421,0.0433479204722947,128,100,2:6,ok
25,1.1649297617197112,0.14389284941523633,0.06569206355043264,16,0.8398563969630698,0.20028746039917203,0.7209502448656163,1.3919208717675464,0.6605725069268933,0.043394371104710075,128,100,4:4,ok
25,1.1649297617197112,0.14389284941523633,0.06569206355043264,16,0.8223514287015078,0.1819775781981456,0.7059236150748892,1.2646742276470384,0.6612651051883339,0.04343986931371556,128,100,6:2,ok
25,11.880022342514499,1.8265687775968593,0.18364148442907072,64,12.492516203953459,6.8031277334041675,1.051556625381676,3.7245395940440633,1.0173352977384753,0.18682496423878422,512,100,2:6,ok
25,11.880022342514499,1.8265687775968593,0.18364148442907072,64,11.955816558282205,5.867489638698331,1.0063799724935252,3.212301507977128,0.9755728317964373,0.17915564299976985,512,100,4:4,ok
25,11.880022342514499,1.8265687775968593,0.18364148442907072,64,9.472486868250853,2.4732652495742524,0.7973458799275227,1.3540498884625767,0.7346308556386563,0.1349087008368812,512,100,6:2,ok
25,20.55510310553335,11.952888467937049,0.31828852380570927,64,20.778582599145874,10.453125024199204,1.010872214674144,0.8745271113538058,0.9952363841915374,0.31677231956205615,1024,100,2:6,ok
25,20.55510310553335,11.952888467937049,0.31828852380570927,64,20.691890668935102,11.102478851321841,1.0066546765880697,0.9288532124351044,0.9953536492347431,0.3168096436795521,1024,100,4:4,ok
25,20.55510310553335,11.952888467937049,0.31828852380570927,64,20.64014075818469,12.401064473778325,1.0041370579468631,1.037495205200273,0.9908725565596448,0.3153833633069585,1024,100,6:2,ok
25,80.54210256209142,69.33427053705644,0.17343951367873536,256,144.97634808781518,132.9806379927144,1.8000069960434693,1.9179640452356312,0.5190372676895588,0.09002157128921667,2048,100,2:6,ok
25,80.54210256209142,69.33427053705644,0.17343951367873536,256,122.24685168470175,111.38468218552262,1.5178006011260925,1.6064881237337298,0.5381234887330572,0.09333187618496586,2048,100,4:4,ok
25,80.54210256209142,69.33427053705644,0.17343951367873536,256,133.0528490105378,122.1906795113587,1.6519664222567927,1.7623417476650682,0.5000864839940382,0.08673475658123467,2048,100,6:2,ok
