prompt,output,rate,bandwidth,pd_over_baseline_effective_ttft_p99,pd_over_baseline_tbt_times_p99,pd_over_baseline_response_times_p99
128,64,100,50,1.25104,0.656449,0.671381
128,64,100,25,1.3049,0.657906,0.673243
128,64,100,12.5,1.38455,0.6609,0.676089
128,64,100,3.125,1.88864,0.678706,0.693642
512,64,50,50,2.73103,0.615402,0.71193
128,16,100,50,1.33867,0.654558,0.714401
512,64,50,25,2.88569,0.620978,0.718941
128,16,100,25,1.39192,0.660573,0.72095
512,64,50,12.5,3.07939,0.63215,0.727723
128,16,100,12.5,1.45893,0.672467,0.729263
