bandwidth,baseline_e2e_p99,baseline_effective_ttft_p99,baseline_tbt_p99,output,pd_e2e_p99,pd_effective_ttft_p99,pd_over_baseline_e2e_p99,pd_over_baseline_effective_ttft_p99,pd_over_baseline_tbt_p99,pd_tbt_p99,prompt,rate,split,status
25,3.04132,0.114318,0.0460635,64,2.808,0.120126,0.923285,1.05081,0.930323,0.042854,128,20,6:2,ok
25,3.46042,0.133421,0.0525466,64,2.86217,0.165904,0.827118,1.24346,0.818322,0.043,128,50,6:2,ok
25,4.31047,0.146776,0.0653125,64,2.88783,0.19309,0.669956,1.31554,0.65811,0.0429828,128,100,4:4,ok
25,5.99814,0.114233,0.0459763,128,5.55174,0.120307,0.925576,1.05317,0.932272,0.0428624,128,20,6:2,ok
25,6.78667,0.114989,0.0522642,128,5.61137,0.177806,0.826822,1.54629,0.8208,0.0428984,128,50,4:4,ok
25,8.63316,0.149987,0.0666276,128,5.66208,0.197635,0.655853,1.31768,0.647552,0.0431448,128,100,4:4,ok
25,11.7158,0.113394,0.0454588,256,11.0456,0.156855,0.9428,1.38327,0.94078,0.0427667,128,20,4:4,ok
25,12.7915,0.115212,0.0497115,256,11.1192,0.209408,0.869263,1.81758,0.861957,0.0428492,128,50,2:6,ok
25,14.5606,0.146724,0.0565243,256,11.2236,0.199072,0.770822,1.35677,0.765965,0.0432956,128,100,4:4,ok
25,3.05218,0.116128,0.0458986,64,2.82178,0.133436,0.924515,1.14904,0.937878,0.0430473,256,20,6:2,ok
25,3.51882,0.127834,0.0533815,64,2.86978,0.174732,0.815552,1.36687,0.808981,0.0431846,256,50,6:2,ok
25,5.29589,0.191108,0.0805558,64,2.94875,0.24357,0.5568,1.27452,0.539345,0.0434473,256,100,6:2,ok
25,5.98224,0.116885,0.046023,128,5.55235,0.133985,0.928139,1.1463,0.930988,0.0428469,256,20,4:4,ok
25,7.00052,0.124986,0.0538704,128,5.64125,0.207643,0.805833,1.66133,0.798017,0.0429896,256,50,4:4,ok
25,9.87807,0.206789,0.0764523,128,5.78198,0.269434,0.585335,1.30294,0.572087,0.0437373,256,100,6:2,ok
25,11.7109,0.117532,0.0454818,256,11.0437,0.156864,0.943022,1.33465,0.941044,0.0428003,256,20,4:4,ok
25,12.8909,0.119581,0.0499993,256,11.1348,0.198366,0.863773,1.65883,0.859692,0.042984,256,50,4:4,ok
25,15.3263,0.201332,0.0595085,256,11.4392,0.259349,0.746382,1.28816,0.739887,0.0440296,256,100,6:2,ok
25,3.43535,0.145633,0.0514759,64,2.8727,0.185215,0.836218,1.27179,0.843746,0.0434326,512,20,6:2,ok
25,4.932,0.212354,0.0748994,64,3.02121,0.324778,0.612574,1.52942,0.582178,0.0436048,512,50,6:2,ok
25,11.4167,1.04109,0.176404,64,7.95937,1.37597,0.697168,1.32166,0.634037,0.111847,512,100,6:2,ok
25,6.65827,0.146443,0.0509909,128,5.61914,0.18551,0.843934,1.26678,0.84643,0.0431602,512,20,6:2,ok
25,8.96534,0.197484,0.0691953,128,5.72172,0.262757,0.638204,1.33052,0.62721,0.0434,512,50,6:2,ok
25,14.1352,1.28461,0.109658,128,12.8005,2.28706,0.905573,1.78034,0.852691,0.0935044,512,100,6:2,ok
25,12.4413,0.14684,0.0482356,256,11.1101,0.185159,0.893,1.26096,0.892194,0.0430356,512,20,6:2,ok
25,14.6287,0.194741,0.05678,256,11.3025,0.283856,0.772626,1.45761,0.76434,0.0433992,512,50,6:2,ok
25,19.5049,1.48651,0.0757925,256,17.6358,6.59115,0.90417,4.43398,0.867363,0.0657396,512,100,6:2,ok
