prompt,output,split,cases,e2e_win_share,e2e_median,tbt_median,handoff_median
128,64,2:6,3,1,0.836035,0.815063,1.54124
128,64,4:4,3,1,0.827733,0.816078,1.31554
128,64,6:2,3,1,0.827118,0.818322,1.23964
128,128,2:6,3,1,0.829455,0.819326,1.77013
128,128,4:4,3,1,0.826822,0.8208,1.36566
128,128,6:2,3,1,0.82818,0.825302,1.22558
128,256,2:6,3,1,0.869263,0.861957,1.81758
128,256,4:4,3,1,0.8695,0.86423,1.38327
128,256,6:2,3,1,0.875362,0.871076,1.24325
256,64,2:6,3,0.666667,0.947865,0.936545,4.38323
256,64,4:4,3,1,0.823456,0.806832,1.63291
256,64,6:2,3,1,0.815552,0.808981,1.27452
256,128,2:6,3,0.666667,0.936877,0.930509,4.54565
256,128,4:4,3,1,0.805833,0.798017,1.66133
256,128,6:2,3,1,0.805859,0.802135,1.30294
256,256,2:6,3,0.666667,0.946771,0.940087,3.72899
256,256,4:4,3,1,0.863773,0.859692,1.65883
256,256,6:2,3,1,0.866767,0.86595,1.28816
512,64,2:6,3,0.333333,1.13776,1.10971,3.29678
512,64,4:4,3,0.666667,0.851821,0.843044,2.51549
512,64,6:2,3,1,0.697168,0.634037,1.32166
512,128,2:6,3,0.333333,1.03285,1.00305,3.7088
512,128,4:4,3,1,0.851924,0.844262,2.58703
512,128,6:2,3,1,0.843934,0.84643,1.33052
512,256,2:6,3,0.333333,1.04588,1.01991,4.02625
512,256,4:4,3,0.666667,0.893302,0.889423,2.55897
512,256,6:2,3,1,0.893,0.867363,1.45761
