bandwidth,baseline_e2e_p99,baseline_effective_ttft_p99,baseline_tbt_p99,output,pd_e2e_p99,pd_effective_ttft_p99,pd_over_baseline_e2e_p99,pd_over_baseline_effective_ttft_p99,pd_over_baseline_tbt_p99,pd_tbt_p99,prompt,rate,split,status
25,3.04132,0.114318,0.0460635,64,2.79598,0.107877,0.919332,0.943657,0.926245,0.0426661,128,20,6:2,ok
25,3.46042,0.133421,0.0525466,64,2.85093,0.154658,0.823869,1.15917,0.814977,0.0428243,128,50,6:2,ok
25,4.31047,0.146776,0.0653125,64,2.87686,0.180614,0.667413,1.23054,0.655573,0.0428171,128,100,4:4,ok
25,5.99814,0.114233,0.0459763,128,5.54052,0.109067,0.923706,0.954775,0.930367,0.0427748,128,20,6:2,ok
25,6.78667,0.114989,0.0522642,128,5.60083,0.169155,0.825269,1.47106,0.819114,0.0428103,128,50,4:4,ok
25,8.63316,0.149987,0.0666276,128,5.65082,0.18484,0.654548,1.23238,0.646104,0.0430484,128,100,4:4,ok
25,11.7158,0.113394,0.0454588,256,11.0344,0.145605,0.94184,1.28406,0.939813,0.0427228,128,20,4:4,ok
25,12.7915,0.115212,0.0497115,256,11.108,0.198158,0.868383,1.71994,0.861073,0.0428053,128,50,2:6,ok
25,14.5606,0.146724,0.0565243,256,11.2124,0.187822,0.770049,1.2801,0.765187,0.0432517,128,100,4:4,ok
25,3.05218,0.116128,0.0458986,64,2.79998,0.111506,0.917371,0.960198,0.930456,0.0427066,256,20,6:2,ok
25,3.51882,0.127834,0.0533815,64,2.85725,0.162291,0.811991,1.26954,0.80235,0.0428306,256,50,6:2,ok
25,5.29589,0.191108,0.0805558,64,2.92545,0.215569,0.552399,1.128,0.534925,0.0430913,256,100,6:2,ok
25,5.98224,0.116885,0.046023,128,5.52985,0.111329,0.924378,0.952466,0.927167,0.042671,256,20,4:4,ok
25,7.00052,0.124986,0.0538704,128,5.61303,0.180131,0.801802,1.44121,0.794779,0.0428151,256,50,4:4,ok
25,9.87807,0.206789,0.0764523,128,5.76211,0.246934,0.583323,1.19414,0.569769,0.0435601,256,100,6:2,ok
25,11.7109,0.117532,0.0454818,256,11.0212,0.134364,0.941101,1.14321,0.939111,0.0427125,256,20,4:4,ok
25,12.8909,0.119581,0.0499993,256,11.1123,0.175866,0.862027,1.47068,0.857935,0.0428961,256,50,4:4,ok
25,15.3263,0.201332,0.0595085,256,11.4167,0.240024,0.744914,1.19218,0.73841,0.0439417,256,100,6:2,ok
25,3.43535,0.145633,0.0514759,64,2.82804,0.140231,0.823218,0.962902,0.83019,0.0427348,512,20,6:2,ok
25,4.932,0.212354,0.0748994,64,2.97364,0.276523,0.602928,1.30218,0.572763,0.0428996,512,50,6:2,ok
25,11.4167,1.04109,0.176404,64,7.91933,1.37414,0.693661,1.3199,0.630059,0.111145,512,100,6:2,ok
25,6.65827,0.146443,0.0509909,128,5.57407,0.14067,0.837166,0.960583,0.839587,0.0428113,512,20,6:2,ok
25,8.96534,0.197484,0.0691953,128,5.67692,0.217733,0.633207,1.10253,0.622131,0.0430486,512,50,6:2,ok
25,14.1352,1.28461,0.109658,128,12.6959,2.25561,0.898177,1.75587,0.844756,0.0926342,512,100,6:2,ok
25,12.4413,0.14684,0.0482356,256,11.0651,0.140159,0.889383,0.9545,0.88855,0.0428598,512,20,6:2,ok
25,14.6287,0.194741,0.05678,256,11.2575,0.238856,0.76955,1.22654,0.761244,0.0432234,512,50,6:2,ok
25,19.5049,1.48651,0.0757925,256,17.5035,3.07192,0.89739,2.06653,0.864256,0.0655042,512,100,6:2,ok
