prompt,output,split,cases,e2e_win_share,e2e_median,tbt_median,handoff_median
128,64,2:6,3,1,0.83263,0.811858,1.45112
128,64,4:4,3,1,0.825494,0.812785,1.25131
128,64,6:2,3,1,0.823869,0.814977,1.15917
128,128,2:6,3,1,0.827798,0.81758,1.67233
128,128,4:4,3,1,0.825269,0.819114,1.29553
128,128,6:2,3,1,0.827738,0.823607,1.15063
128,256,2:6,3,1,0.868383,0.861073,1.71994
128,256,4:4,3,1,0.86862,0.863346,1.28406
128,256,6:2,3,1,0.874483,0.870192,1.16657
256,64,2:6,3,0.666667,0.937737,0.928952,4.27268
256,64,4:4,3,1,0.814748,0.800404,1.38782
256,64,6:2,3,1,0.811991,0.80235,1.128
256,128,2:6,3,0.666667,0.933168,0.926775,4.36567
256,128,4:4,3,1,0.801802,0.794779,1.44121
256,128,6:2,3,1,0.802648,0.798875,1.19414
256,256,2:6,3,0.666667,0.944849,0.938155,3.54083
256,256,4:4,3,1,0.862027,0.857935,1.47068
256,256,6:2,3,1,0.865022,0.864192,1.18021
512,64,2:6,3,0.333333,1.13557,1.10471,3.04264
512,64,4:4,3,0.666667,0.837526,0.829446,2.56966
512,64,6:2,3,1,0.693661,0.630059,1.30218
512,128,2:6,3,0.333333,1.02122,0.99071,3.48684
512,128,4:4,3,1,0.844497,0.837354,2.37552
512,128,6:2,3,1,0.837166,0.839587,1.10253
512,256,2:6,3,0.333333,1.04584,1.01776,4.01752
512,256,4:4,3,1,0.889685,0.885779,2.32789
512,256,6:2,3,1,0.889383,0.864256,1.22654
