bandwidth,baseline_e2e_p99,baseline_effective_ttft_p99,baseline_tbt_p99,output,pd_e2e_p99,pd_effective_ttft_p99,pd_over_baseline_e2e_p99,pd_over_baseline_effective_ttft_p99,pd_over_baseline_tbt_p99,pd_tbt_p99,prompt,rate,split,status
25,1.16493,0.143893,0.0656921,16,1.14259,0.503285,0.980824,3.49764,0.659865,0.0433479,128,100,2:6,ok
25,1.16493,0.143893,0.0656921,16,0.839856,0.200287,0.72095,1.39192,0.660573,0.0433944,128,100,4:4,ok
25,1.16493,0.143893,0.0656921,16,0.822351,0.181978,0.705924,1.26467,0.661265,0.0434399,128,100,6:2,ok
25,11.88,1.82657,0.183641,64,12.4925,6.80313,1.05156,3.72454,1.01734,0.186825,512,100,2:6,ok
25,11.88,1.82657,0.183641,64,11.9558,5.86749,1.00638,3.2123,0.975573,0.179156,512,100,4:4,ok
25,11.88,1.82657,0.183641,64,9.47249,2.47327,0.797346,1.35405,0.734631,0.134909,512,100,6:2,ok
25,20.5551,11.9529,0.318289,64,20.7786,10.4531,1.01087,0.874527,0.995236,0.316772,1024,100,2:6,ok
25,20.5551,11.9529,0.318289,64,20.6919,11.1025,1.00665,0.928853,0.995354,0.31681,1024,100,4:4,ok
25,20.5551,11.9529,0.318289,64,20.6401,12.4011,1.00414,1.0375,0.990873,0.315383,1024,100,6:2,ok
25,80.5421,69.3343,0.17344,256,144.976,132.981,1.80001,1.91796,0.519037,0.0900216,2048,100,2:6,ok
25,80.5421,69.3343,0.17344,256,122.247,111.385,1.5178,1.60649,0.538123,0.0933319,2048,100,4:4,ok
25,80.5421,69.3343,0.17344,256,133.053,122.191,1.65197,1.76234,0.500086,0.0867348,2048,100,6:2,ok
