prompt,output,rate,bandwidth,pd_over_baseline_effective_ttft_p99,pd_over_baseline_tbt_times_p99,pd_over_baseline_response_times_p99
2048,256,100,12.5,2.09023,0.562308,1.94245
1024,16,50,3.125,5.73069,1.72346,1.86225
2048,256,100,25,1.60649,0.538123,1.5178
2048,256,50,12.5,1.66542,0.905196,1.46018
2048,64,100,50,1.46804,1.03147,1.4515
2048,64,100,3.125,1.45589,1.19056,1.41189
2048,256,100,50,1.45105,0.47303,1.40888
1024,16,20,3.125,5.73983,1.26402,1.39524
2048,256,100,3.125,1.4488,0.570082,1.38206
2048,16,20,3.125,2.00047,1.15898,1.35571
